ObjectID,State,County/Parish,Year,Overall_SPB_PerDay,Overall_Clerids_PerDay,x,y
573,Florida,Wakulla,2020,1,0.4,-84.26262399,30.23931538
574,Florida,Columbia,2020,0.2,0.1,-82.58562427,29.9224843
575,Florida,Columbia,2020,0.1,0.1,-82.57432405,30.1352002
577,Florida,Volusia,2020,0,0,-81.49502561,29.11153103
578,Florida,Escambia,2020,0.1,0.3,-87.26676853,30.55283572
579,Florida,Wakulla,2020,0.2,0.7,-84.66456695,30.20115397
580,Florida,SantaRosa,2020,0,0.8,-86.96456533,30.81928513
581,Florida,Walton,2020,0,1.5,-86.16344359,30.84861448
582,Georgia,Echols,2020,1.6,5.6,-83.03225985,30.72714256
583,Florida,Walton,2020,0,0.3,-86.02152835,30.64449663
584,Georgia,Webster,2020,0.4,2.8,-84.4980792,32.10766885
585,Georgia,Marion,2020,0.2,0.6,-84.51797978,32.38087945
586,Florida,Escambia,2020,0,0.5,-87.53614744,30.89086354
587,Georgia,Stewart,2020,0.3,2.7,-84.80378702,32.20449909
588,Florida,Lafayette,2020,0,0,-83.27943001,29.92730265
589,Georgia,Stewart,2020,0.9,1.4,-84.90200528,32.05303462
590,Florida,Orange,2020,0,0,-81.50476565,28.76195747
591,Florida,Dixie,2020,0,0,-83.19406318,29.49247554
592,Florida,Volusia,2020,0,0,-81.53253573,29.28536881
593,Florida,Liberty,2020,0.2,0.4,-84.72644964,30.38320014
594,Florida,Gadsden,2020,1,0.3,-84.6104801,30.47256727
595,Florida,Marion,2020,5.8,0.1,-82.041162,29.368361
596,Florida,Marion,2020,14,0.2,-81.99618,29.21676
597,Florida,Marion,2020,25.6,0.2,-82.12243435,29.14901854
598,Georgia,Camden,2020,0.1,0,-81.87259714,31.07152491
599,Georgia,Long,2020,0.1,0.1,-81.79565529,31.76043196
600,Georgia,Bulloch,2020,0.1,0.7,-81.73049194,32.16965991
601,Florida,Seminole,2020,0,0,-81.11015,28.68081
602,Georgia,Randolph,2020,19,6.3,-84.79433771,31.88284164
603,Georgia,Bulloch,2020,0.3,0.6,-81.57944359,32.47193229
604,Georgia,Quitman,2020,45.5,11.2,-84.95880642,31.77904389
605,Georgia,Clay,2020,18.8,4.1,-85.0261068,31.6330873
606,Georgia,Screven,2020,0,0.9,-81.71326876,32.89294419
607,Georgia,Jones,2020,0.9,12.5,-83.70255658,33.0506469
608,Georgia,Putnam,2020,1.4,15.8,-83.40672048,33.20080022
610,Florida,Columbia,2020,0.1,0.1,-82.7043274,30.50509793
611,Georgia,Brantley,2020,0,0,-81.91422599,31.20535168
612,Georgia,Jefferson,2020,0.1,0.8,-82.37526609,33.30887467
613,Georgia,Jenkins,2020,0.1,0.5,-81.93593292,32.79369894
614,Florida,Holmes,2020,0,0.5,-85.85938955,30.88023466
619,Florida,Hernando,2020,0,0,-82.12257976,28.51373212
620,South Carolina,Berkeley,2020,0,0,-79.590556,33.251944
621,South Carolina,Berkeley,2020,0,0,-79.9175,33.114444
622,South Carolina,Berkeley,2020,0,0,-80.087778,33.23
623,South Carolina,Charleston,2020,0,0,-79.42,33.177778
624,South Carolina,Charleston,2020,0,0,-79.696389,33.056389
625,South Carolina,Charleston,2020,0,0,-80.348333,32.74
626,South Carolina,Horry,2020,0,0,-79.1469,33.6886
632,South Carolina,York,2020,0,0,-81.320833,34.90889
633,South Carolina,York,2020,0,0,-81.186667,34.872222
634,South Carolina,York,2020,0,0,-80.963056,34.88944
635,South Carolina,Newberry,2020,0,0,-81.403278,34.080833
636,South Carolina,Newberry,2020,0,0,-81.85040115,34.2770883
637,South Carolina,Newberry,2020,0,0,-81.528361,34.376222
638,South Carolina,Williamsburg,2020,0,0,-79.539722,33.605278
639,South Carolina,Horry,2020,0,0,-78.8742,33.8047
640,South Carolina,Fairfield,2020,0,0,-80.873611,34.435111
641,South Carolina,Fairfield,2020,0,0,-81.317944,34.377889
642,South Carolina,Fairfield,2020,0,0,-81.385417,34.499
643,Texas,Montgomery,2020,0,0.2,-95.724,30.5215
644,South Carolina,Richland,2020,0,0,-81.1799,34.109947
645,South Carolina,Richland,2020,0,0,-80.913433,34.071625
646,South Carolina,Richland,2020,0,0,-80.801156,33.964272
647,South Carolina,Spartanburg,2020,0,0,-81.87778,34.896722
648,South Carolina,Spartanburg,2020,0,0,-81.81525,34.786056
649,South Carolina,Spartanburg,2020,0,0,-81.950056,34.707944
650,South Carolina,Union,2020,0,0,-81.483961,34.8395
651,South Carolina,Union,2020,0,0,-81.669139,34.644472
652,South Carolina,Union,2020,0,0,-81.732472,34.809194
653,Texas,SanJacinto,2020,0,0.4,-95.16041,30.5275
654,Texas,SanJacinto,2020,0,0.3,-95.1443,30.51273
655,Texas,SanJacinto,2020,0,0.5,-95.09881,30.49293
657,South Carolina,Florence,2020,0,0,-79.783021,34.03115
658,South Carolina,Florence,2020,0,0,-79.678894,34.116667
659,South Carolina,Georgetown,2020,0,0,-79.208056,33.359722
660,Florida,Gilchrist,2020,0.1,0,-82.8245557,29.6313816
661,Texas,Shelby,2020,0,0.1,-94.03333,31.7663
662,Texas,Shelby,2020,0,1.8,-93.96177,31.7152
